date,time,consumption,prediction
2015-06-08,00:00,26076,25894.076880455017
2015-06-08,00:10,25709,25522.465981960297
2015-06-08,00:20,25413,25130.709222316742
2015-06-08,00:30,25059,25029.914065361023
2015-06-08,00:40,24844,24763.833025932312
2015-06-08,00:50,24484,24520.06303548813
2015-06-08,01:00,24375,24162.924916267395
2015-06-08,01:10,23805,23933.801881551743
2015-06-08,01:20,23776,23529.52252626419
2015-06-08,01:30,23568,23465.77723646164
2015-06-08,01:40,23239,23257.49479317665
2015-06-08,01:50,23238,23057.10330057144
2015-06-08,02:00,22817,22968.975941181183
2015-06-08,02:10,22791,22748.46196460724
2015-06-08,02:20,22696,22659.948387861252
2015-06-08,02:30,22741,22516.179059505463
2015-06-08,02:40,22687,22545.146678209305
2015-06-08,02:50,22717,22539.027125120163
2015-06-08,03:00,21977,22575.370408773422
2015-06-08,03:10,21814,22067.5538520813
2015-06-08,03:20,22221,21780.741204977036
2015-06-08,03:30,22209,22118.60665011406
2015-06-08,03:40,22072,22128.583767175674
2015-06-08,03:50,22129,22093.79226732254
2015-06-08,04:00,22065,22037.009096860886
2015-06-08,04:10,22142,22086.64872789383
2015-06-08,04:20,21950,22211.31001019478
2015-06-08,04:30,21959,22125.305693864822
2015-06-08,04:40,22069,22085.685653924942
2015-06-08,04:50,21916,22116.743060827255
2015-06-08,05:00,21945,22072.39457464218
2015-06-08,05:10,22338,22077.62052679062
2015-06-08,05:20,22147,22321.20580458641
2015-06-08,05:30,22483,22338.092360019684
2015-06-08,05:40,22350,22553.331654548645
2015-06-08,05:50,22587,22625.844703912735
2015-06-08,06:00,22898,22907.319781064987
2015-06-08,06:10,23778,23364.31368970871
2015-06-08,06:20,24175,24217.751317977905
2015-06-08,06:30,24428,24714.129848480225
2015-06-08,06:40,24572,25012.259355545044
2015-06-08,06:50,24915,25210.97789812088
2015-06-08,07:00,24884,25435.35931634903
2015-06-08,07:10,26247,25483.1047372818
2015-06-08,07:20,26545,26637.897264957428
2015-06-08,07:30,27281,27005.592650413513
2015-06-08,07:40,27851,27645.530114650726
2015-06-08,07:50,28070,28221.50958967209
2015-06-08,08:00,28338,28458.083359718323
2015-06-08,08:10,29326,29081.089818954468
2015-06-08,08:20,29703,29697.81538963318
2015-06-08,08:30,29930,30188.52808189392
2015-06-08,08:40,30363,30261.418787956238
2015-06-08,08:50,30376,30637.08282852173
2015-06-08,09:00,30660,30398.503889083862
2015-06-08,09:10,31011,30918.540125846863
2015-06-08,09:20,31331,31320.532797813416
2015-06-08,09:30,31383,31289.537949562073
2015-06-08,09:40,31763,31555.205443382263
2015-06-08,09:50,31901,31802.23309326172
2015-06-08,10:00,32201,31958.93922138214
2015-06-08,10:10,32219,32275.064547538757
2015-06-08,10:20,32492,32346.69749546051
2015-06-08,10:30,33053,32543.50306034088
2015-06-08,10:40,32989,33185.28106594086
2015-06-08,10:50,33167,33113.07389545441
2015-06-08,11:00,33257,33197.20013523102
2015-06-08,11:10,33260,33285.07199192047
2015-06-08,11:20,33438,33361.66221904755
2015-06-08,11:30,33501,33489.70594882965
2015-06-08,11:40,33636,33638.68509578705
2015-06-08,11:50,33917,33616.28119659424
2015-06-08,12:00,33997,33951.976185798645
2015-06-08,12:10,34080,33998.818786621094
2015-06-08,12:20,34287,34068.372153282166
2015-06-08,12:30,34218,34276.874210357666
2015-06-08,12:40,34417,34234.874307632446
2015-06-08,12:50,34682,34339.08121585846
2015-06-08,13:00,34316,34510.7592754364
2015-06-08,13:10,34426,34499.48554801941
2015-06-08,13:20,34494,34322.52622127533
2015-06-08,13:30,34707,34366.13552761078
2015-06-08,13:40,34615,34621.72910308838
2015-06-08,13:50,34489,34763.564710617065
2015-06-08,14:00,34017,34595.12784767151
2015-06-08,14:10,33719,34012.08912277222
2015-06-08,14:20,33699,33713.69225978851
2015-06-08,14:30,33693,33560.11274719238
2015-06-08,14:40,33636,33583.88898563385
2015-06-08,14:50,33328,33485.966917037964
2015-06-08,15:00,33113,33164.472083091736
2015-06-08,15:10,33081,32985.27513217926
2015-06-08,15:20,33199,33051.44374656677
2015-06-08,15:30,33273,33111.34069156647
2015-06-08,15:40,33144,33124.5306892395
2015-06-08,15:50,33262,33056.45107269287
2015-06-08,16:00,32931,33188.031012535095
2015-06-08,16:10,32850,32921.718176841736
2015-06-08,16:20,33290,32889.37469577789
2015-06-08,16:30,33028,33154.85385513306
2015-06-08,16:40,33280,33057.97618675232
2015-06-08,16:50,33325,33239.043312072754
2015-06-08,17:00,32964,33243.70689487457
2015-06-08,17:10,33290,33117.186962127686
2015-06-08,17:20,33273,33303.94626617432
2015-06-08,17:30,33428,33312.751890182495
2015-06-08,17:40,33386,33498.97516536713
2015-06-08,17:50,33388,33576.64008426666
2015-06-08,18:00,33076,33380.968477249146
2015-06-08,18:10,32866,33204.72824573517
2015-06-08,18:20,32933,32971.14214515686
2015-06-08,18:30,32551,32900.47721004486
2015-06-08,18:40,32639,32591.463814735413
2015-06-08,18:50,32617,32541.7382478714
2015-06-08,19:00,32374,32496.4760761261
2015-06-08,19:10,32140,32191.86549282074
2015-06-08,19:20,32468,32128.029328346252
2015-06-08,19:30,32202,32376.011820793152
2015-06-08,19:40,32256,32202.6953830719
2015-06-08,19:50,32287,32189.16954421997
2015-06-08,20:00,31982,32242.45502758026
2015-06-08,20:10,31786,31966.236852645874
2015-06-08,20:20,31876,31691.90597343445
2015-06-08,20:30,31721,31786.402462005615
2015-06-08,20:40,31864,31646.695165634155
2015-06-08,20:50,31768,31880.187757492065
2015-06-08,21:00,31916,31720.842312812805
2015-06-08,21:10,31687,31912.16378879547
2015-06-08,21:20,31878,31607.558473587036
2015-06-08,21:30,31600,31854.437299728394
2015-06-08,21:40,32067,31602.95547389984
2015-06-08,21:50,32227,31943.643301963806
2015-06-08,22:00,32195,32144.598810195923
2015-06-08,22:10,31931,32274.45081424713
2015-06-08,22:20,31483,31999.84862804413
